rot_x	rot_y	rot_z	trans_x	trans_y	trans_z
0.0	0.0	0.0	0.0	0.0	0.0
0.00161921	-0.00096383	-0.000201527	-9.46603e-05	-0.0177575	-0.0970591
0.00128775	-0.00096383	-0.000246477	-9.87307e-05	0.000538577	-0.0500854
0.00118991	-0.00088358	3.87459e-05	-0.00692264	0.0238341	-0.0367118
0.00060935	-0.00096383	0.000216466	0.00768841	0.0164273	0.0156563
0.00032688	-0.00096383	0.000207156	0.008326	-0.00119704	-0.0322861
0.000225295	-0.00096383	0.000207156	-0.000128276	0.0402396	0.0258156
0.000536803	-0.000737839	1.17384e-05	-0.000120589	0.00624946	0.00218691
-8.43305e-05	-0.000619916	0.000207156	-0.000129645	0.0469517	0.0199605
-0.000382261	0.000358022	-2.87808e-05	-0.000105169	0.0220571	-0.0235494
-0.000691516	-0.00030645	0.000148375	-0.000121166	0.0466476	0.0340672
-0.000382261	-0.000441638	0.000207156	0.00973022	0.00934841	-0.0280749
-0.000174654	-0.00096383	0.000432361	-0.000125552	0.0403838	0.0161222
0.000116264	-0.00019032	0.000207156	0.00638894	-0.00205121	-0.0573974
-7.90096e-05	-0.000137672	0.000405326	0.00625593	0.0221437	-0.0485208
0.000437662	-0.000129335	0.000207156	0.0058653	0.00704793	-0.078947
9.22821e-05	5.06673e-05	0.000207156	0.0105653	0.00636967	-0.0748121
-0.000189029	-0.000123096	0.000319449	0.00658361	0.0303863	-0.0401351
0.00031369	-0.00010524	0.000207156	0.00444538	0.00942095	-0.0586656
-0.00022441	-0.000537656	0.000207156	-0.000107169	0.0458186	0.0108286
0.000225142	-0.000287656	0.000207156	-9.91814e-05	-0.00218477	-0.0134165
-0.000602124	-0.000287656	-8.72112e-05	-0.000117947	0.0394024	-0.00169874
0.000390099	0.000601392	-0.00032297	-7.64535e-05	0.0359665	-0.0183547
-0.000345556	0.000308957	-0.00032297	-0.018274	0.0462822	0.0317251
-0.000416945	0.000318976	-0.00032297	-0.0182685	0.0303959	0.0470331
-0.000525768	0.000131267	-0.00032297	-0.018271	0.0330906	0.0169975
-0.000608452	0.000184524	-0.00032297	-0.0365464	0.0583741	0.0696778
-0.000608452	0.000309905	-0.000665034	-0.0350205	0.0428685	0.0556377
-0.00111743	0.000402494	-0.000750042	-0.0610964	0.112297	0.111714
-0.000889677	0.000280318	-0.0008933	-0.0573831	0.0593881	0.0857324
0.00161921	-0.00096383	-0.000201527	-9.46603e-05	-0.0177575	-0.0970591
0.00161921	-0.00096383	-0.000201527	-9.46603e-05	-0.0177575	-0.0970591
0.00128775	-0.00096383	-0.000246477	-9.87307e-05	0.000538577	-0.0500854
0.00118991	-0.00088358	3.87459e-05	-0.00692264	0.0238341	-0.0367118
0.00060935	-0.00096383	0.000216466	0.00768841	0.0164273	0.0156563
0.00032688	-0.00096383	0.000207156	0.008326	-0.00119704	-0.0322861
0.000225295	-0.00096383	0.000207156	-0.000128276	0.0402396	0.0258156
0.000536803	-0.000737839	1.17384e-05	-0.000120589	0.00624946	0.00218691
-8.43305e-05	-0.000619916	0.000207156	-0.000129645	0.0469517	0.0199605
-0.000382261	0.000358022	-2.87808e-05	-0.000105169	0.0220571	-0.0235494
-0.000691516	-0.00030645	0.000148375	-0.000121166	0.0466476	0.0340672
-0.000382261	-0.000441638	0.000207156	0.00973022	0.00934841	-0.0280749
-0.000174654	-0.00096383	0.000432361	-0.000125552	0.0403838	0.0161222
0.000116264	-0.00019032	0.000207156	0.00638894	-0.00205121	-0.0573974
-7.90096e-05	-0.000137672	0.000405326	0.00625593	0.0221437	-0.0485208
0.000437662	-0.000129335	0.000207156	0.0058653	0.00704793	-0.078947
9.22821e-05	5.06673e-05	0.000207156	0.0105653	0.00636967	-0.0748121
-0.000189029	-0.000123096	0.000319449	0.00658361	0.0303863	-0.0401351
0.00031369	-0.00010524	0.000207156	0.00444538	0.00942095	-0.0586656
-0.00022441	-0.000537656	0.000207156	-0.000107169	0.0458186	0.0108286
0.000225142	-0.000287656	0.000207156	-9.91814e-05	-0.00218477	-0.0134165
-0.000602124	-0.000287656	-8.72112e-05	-0.000117947	0.0394024	-0.00169874
0.000390099	0.000601392	-0.00032297	-7.64535e-05	0.0359665	-0.0183547
-0.000345556	0.000308957	-0.00032297	-0.018274	0.0462822	0.0317251
-0.000416945	0.000318976	-0.00032297	-0.0182685	0.0303959	0.0470331
-0.000525768	0.000131267	-0.00032297	-0.018271	0.0330906	0.0169975
-0.000608452	0.000184524	-0.00032297	-0.0365464	0.0583741	0.0696778
-0.000608452	0.000309905	-0.000665034	-0.0350205	0.0428685	0.0556377
-0.00111743	0.000402494	-0.000750042	-0.0610964	0.112297	0.111714
-0.000889677	0.000280318	-0.0008933	-0.0573831	0.0593881	0.0857324
0.00161921	-0.00096383	-0.000201527	-9.46603e-05	-0.0177575	-0.0970591
0.00161921	-0.00096383	-0.000201527	-9.46603e-05	-0.0177575	-0.0970591
0.00128775	-0.00096383	-0.000246477	-9.87307e-05	0.000538577	-0.0500854
0.00118991	-0.00088358	3.87459e-05	-0.00692264	0.0238341	-0.0367118
0.00060935	-0.00096383	0.000216466	0.00768841	0.0164273	0.0156563
0.00032688	-0.00096383	0.000207156	0.008326	-0.00119704	-0.0322861
0.000225295	-0.00096383	0.000207156	-0.000128276	0.0402396	0.0258156
0.000536803	-0.000737839	1.17384e-05	-0.000120589	0.00624946	0.00218691
-8.43305e-05	-0.000619916	0.000207156	-0.000129645	0.0469517	0.0199605
-0.000382261	0.000358022	-2.87808e-05	-0.000105169	0.0220571	-0.0235494
-0.000691516	-0.00030645	0.000148375	-0.000121166	0.0466476	0.0340672
-0.000382261	-0.000441638	0.000207156	0.00973022	0.00934841	-0.0280749
-0.000174654	-0.00096383	0.000432361	-0.000125552	0.0403838	0.0161222
0.000116264	-0.00019032	0.000207156	0.00638894	-0.00205121	-0.0573974
-7.90096e-05	-0.000137672	0.000405326	0.00625593	0.0221437	-0.0485208
0.000437662	-0.000129335	0.000207156	0.0058653	0.00704793	-0.078947
9.22821e-05	5.06673e-05	0.000207156	0.0105653	0.00636967	-0.0748121
-0.000189029	-0.000123096	0.000319449	0.00658361	0.0303863	-0.0401351
0.00031369	-0.00010524	0.000207156	0.00444538	0.00942095	-0.0586656
-0.00022441	-0.000537656	0.000207156	-0.000107169	0.0458186	0.0108286
0.000225142	-0.000287656	0.000207156	-9.91814e-05	-0.00218477	-0.0134165
-0.000602124	-0.000287656	-8.72112e-05	-0.000117947	0.0394024	-0.00169874
0.000390099	0.000601392	-0.00032297	-7.64535e-05	0.0359665	-0.0183547
-0.000345556	0.000308957	-0.00032297	-0.018274	0.0462822	0.0317251
-0.000416945	0.000318976	-0.00032297	-0.0182685	0.0303959	0.0470331
-0.000525768	0.000131267	-0.00032297	-0.018271	0.0330906	0.0169975
-0.000608452	0.000184524	-0.00032297	-0.0365464	0.0583741	0.0696778
-0.000608452	0.000309905	-0.000665034	-0.0350205	0.0428685	0.0556377
-0.00111743	0.000402494	-0.000750042	-0.0610964	0.112297	0.111714
-0.000889677	0.000280318	-0.0008933	-0.0573831	0.0593881	0.0857324
0.00161921	-0.00096383	-0.000201527	-9.46603e-05	-0.0177575	-0.0970591
0.00161921	-0.00096383	-0.000201527	-9.46603e-05	-0.0177575	-0.0970591
0.00128775	-0.00096383	-0.000246477	-9.87307e-05	0.000538577	-0.0500854
0.00118991	-0.00088358	3.87459e-05	-0.00692264	0.0238341	-0.0367118
0.00060935	-0.00096383	0.000216466	0.00768841	0.0164273	0.0156563
0.00032688	-0.00096383	0.000207156	0.008326	-0.00119704	-0.0322861
0.000225295	-0.00096383	0.000207156	-0.000128276	0.0402396	0.0258156
0.000536803	-0.000737839	1.17384e-05	-0.000120589	0.00624946	0.00218691
-8.43305e-05	-0.000619916	0.000207156	-0.000129645	0.0469517	0.0199605
-0.000382261	0.000358022	-2.87808e-05	-0.000105169	0.0220571	-0.0235494
-0.000691516	-0.00030645	0.000148375	-0.000121166	0.0466476	0.0340672
-0.000382261	-0.000441638	0.000207156	0.00973022	0.00934841	-0.0280749
-0.000174654	-0.00096383	0.000432361	-0.000125552	0.0403838	0.0161222
0.000116264	-0.00019032	0.000207156	0.00638894	-0.00205121	-0.0573974
-7.90096e-05	-0.000137672	0.000405326	0.00625593	0.0221437	-0.0485208
0.000437662	-0.000129335	0.000207156	0.0058653	0.00704793	-0.078947
9.22821e-05	5.06673e-05	0.000207156	0.0105653	0.00636967	-0.0748121
-0.000189029	-0.000123096	0.000319449	0.00658361	0.0303863	-0.0401351
0.00031369	-0.00010524	0.000207156	0.00444538	0.00942095	-0.0586656
-0.00022441	-0.000537656	0.000207156	-0.000107169	0.0458186	0.0108286
0.000225142	-0.000287656	0.000207156	-9.91814e-05	-0.00218477	-0.0134165
-0.000602124	-0.000287656	-8.72112e-05	-0.000117947	0.0394024	-0.00169874
0.000390099	0.000601392	-0.00032297	-7.64535e-05	0.0359665	-0.0183547
-0.000345556	0.000308957	-0.00032297	-0.018274	0.0462822	0.0317251
-0.000416945	0.000318976	-0.00032297	-0.0182685	0.0303959	0.0470331
-0.000525768	0.000131267	-0.00032297	-0.018271	0.0330906	0.0169975
-0.000608452	0.000184524	-0.00032297	-0.0365464	0.0583741	0.0696778
-0.000608452	0.000309905	-0.000665034	-0.0350205	0.0428685	0.0556377
-0.00111743	0.000402494	-0.000750042	-0.0610964	0.112297	0.111714
-0.000889677	0.000280318	-0.0008933	-0.0573831	0.0593881	0.0857324
0.00161921	-0.00096383	-0.000201527	-9.46603e-05	-0.0177575	-0.0970591
0.00161921	-0.00096383	-0.000201527	-9.46603e-05	-0.0177575	-0.0970591
0.00128775	-0.00096383	-0.000246477	-9.87307e-05	0.000538577	-0.0500854
0.00118991	-0.00088358	3.87459e-05	-0.00692264	0.0238341	-0.0367118
0.00060935	-0.00096383	0.000216466	0.00768841	0.0164273	0.0156563
0.00032688	-0.00096383	0.000207156	0.008326	-0.00119704	-0.0322861
0.000225295	-0.00096383	0.000207156	-0.000128276	0.0402396	0.0258156
0.000536803	-0.000737839	1.17384e-05	-0.000120589	0.00624946	0.00218691
-8.43305e-05	-0.000619916	0.000207156	-0.000129645	0.0469517	0.0199605
-0.000382261	0.000358022	-2.87808e-05	-0.000105169	0.0220571	-0.0235494
-0.000691516	-0.00030645	0.000148375	-0.000121166	0.0466476	0.0340672
-0.000382261	-0.000441638	0.000207156	0.00973022	0.00934841	-0.0280749
-0.000174654	-0.00096383	0.000432361	-0.000125552	0.0403838	0.0161222
0.000116264	-0.00019032	0.000207156	0.00638894	-0.00205121	-0.0573974
-7.90096e-05	-0.000137672	0.000405326	0.00625593	0.0221437	-0.0485208
0.000437662	-0.000129335	0.000207156	0.0058653	0.00704793	-0.078947
9.22821e-05	5.06673e-05	0.000207156	0.0105653	0.00636967	-0.0748121
-0.000189029	-0.000123096	0.000319449	0.00658361	0.0303863	-0.0401351
0.00031369	-0.00010524	0.000207156	0.00444538	0.00942095	-0.0586656
-0.00022441	-0.000537656	0.000207156	-0.000107169	0.0458186	0.0108286
0.000225142	-0.000287656	0.000207156	-9.91814e-05	-0.00218477	-0.0134165
-0.000602124	-0.000287656	-8.72112e-05	-0.000117947	0.0394024	-0.00169874
0.000390099	0.000601392	-0.00032297	-7.64535e-05	0.0359665	-0.0183547
-0.000345556	0.000308957	-0.00032297	-0.018274	0.0462822	0.0317251
-0.000416945	0.000318976	-0.00032297	-0.0182685	0.0303959	0.0470331
-0.000525768	0.000131267	-0.00032297	-0.018271	0.0330906	0.0169975
-0.000608452	0.000184524	-0.00032297	-0.0365464	0.0583741	0.0696778
-0.000608452	0.000309905	-0.000665034	-0.0350205	0.0428685	0.0556377
-0.00111743	0.000402494	-0.000750042	-0.0610964	0.112297	0.111714
-0.000889677	0.000280318	-0.0008933	-0.0573831	0.0593881	0.0857324
0.00161921	-0.00096383	-0.000201527	-9.46603e-05	-0.0177575	-0.0970591
0.00161921	-0.00096383	-0.000201527	-9.46603e-05	-0.0177575	-0.0970591
0.00128775	-0.00096383	-0.000246477	-9.87307e-05	0.000538577	-0.0500854
0.00118991	-0.00088358	3.87459e-05	-0.00692264	0.0238341	-0.0367118
0.00060935	-0.00096383	0.000216466	0.00768841	0.0164273	0.0156563
0.00032688	-0.00096383	0.000207156	0.008326	-0.00119704	-0.0322861
0.000225295	-0.00096383	0.000207156	-0.000128276	0.0402396	0.0258156
0.000536803	-0.000737839	1.17384e-05	-0.000120589	0.00624946	0.00218691
-8.43305e-05	-0.000619916	0.000207156	-0.000129645	0.0469517	0.0199605
-0.000382261	0.000358022	-2.87808e-05	-0.000105169	0.0220571	-0.0235494
-0.000691516	-0.00030645	0.000148375	-0.000121166	0.0466476	0.0340672
-0.000382261	-0.000441638	0.000207156	0.00973022	0.00934841	-0.0280749
-0.000174654	-0.00096383	0.000432361	-0.000125552	0.0403838	0.0161222
0.000116264	-0.00019032	0.000207156	0.00638894	-0.00205121	-0.0573974
-7.90096e-05	-0.000137672	0.000405326	0.00625593	0.0221437	-0.0485208
0.000437662	-0.000129335	0.000207156	0.0058653	0.00704793	-0.078947
9.22821e-05	5.06673e-05	0.000207156	0.0105653	0.00636967	-0.0748121
-0.000189029	-0.000123096	0.000319449	0.00658361	0.0303863	-0.0401351
0.00031369	-0.00010524	0.000207156	0.00444538	0.00942095	-0.0586656
-0.00022441	-0.000537656	0.000207156	-0.000107169	0.0458186	0.0108286
0.000225142	-0.000287656	0.000207156	-9.91814e-05	-0.00218477	-0.0134165
-0.000602124	-0.000287656	-8.72112e-05	-0.000117947	0.0394024	-0.00169874
0.000390099	0.000601392	-0.00032297	-7.64535e-05	0.0359665	-0.0183547
-0.000345556	0.000308957	-0.00032297	-0.018274	0.0462822	0.0317251
-0.000416945	0.000318976	-0.00032297	-0.0182685	0.0303959	0.0470331
-0.000525768	0.000131267	-0.00032297	-0.018271	0.0330906	0.0169975
-0.000608452	0.000184524	-0.00032297	-0.0365464	0.0583741	0.0696778
-0.000608452	0.000309905	-0.000665034	-0.0350205	0.0428685	0.0556377
-0.00111743	0.000402494	-0.000750042	-0.0610964	0.112297	0.111714
-0.000889677	0.000280318	-0.0008933	-0.0573831	0.0593881	0.0857324
0.00161921	-0.00096383	-0.000201527	-9.46603e-05	-0.0177575	-0.0970591
0.00161921	-0.00096383	-0.000201527	-9.46603e-05	-0.0177575	-0.0970591
0.00128775	-0.00096383	-0.000246477	-9.87307e-05	0.000538577	-0.0500854
0.00118991	-0.00088358	3.87459e-05	-0.00692264	0.0238341	-0.0367118
0.00060935	-0.00096383	0.000216466	0.00768841	0.0164273	0.0156563
0.00032688	-0.00096383	0.000207156	0.008326	-0.00119704	-0.0322861
0.000225295	-0.00096383	0.000207156	-0.000128276	0.0402396	0.0258156
0.000536803	-0.000737839	1.17384e-05	-0.000120589	0.00624946	0.00218691
-8.43305e-05	-0.000619916	0.000207156	-0.000129645	0.0469517	0.0199605
-0.000382261	0.000358022	-2.87808e-05	-0.000105169	0.0220571	-0.0235494
-0.000691516	-0.00030645	0.000148375	-0.000121166	0.0466476	0.0340672
-0.000382261	-0.000441638	0.000207156	0.00973022	0.00934841	-0.0280749
-0.000174654	-0.00096383	0.000432361	-0.000125552	0.0403838	0.0161222
0.000116264	-0.00019032	0.000207156	0.00638894	-0.00205121	-0.0573974
-7.90096e-05	-0.000137672	0.000405326	0.00625593	0.0221437	-0.0485208
0.000437662	-0.000129335	0.000207156	0.0058653	0.00704793	-0.078947
9.22821e-05	5.06673e-05	0.000207156	0.0105653	0.00636967	-0.0748121
-0.000189029	-0.000123096	0.000319449	0.00658361	0.0303863	-0.0401351
0.00031369	-0.00010524	0.000207156	0.00444538	0.00942095	-0.0586656
-0.00022441	-0.000537656	0.000207156	-0.000107169	0.0458186	0.0108286
0.000225142	-0.000287656	0.000207156	-9.91814e-05	-0.00218477	-0.0134165
-0.000602124	-0.000287656	-8.72112e-05	-0.000117947	0.0394024	-0.00169874
0.000390099	0.000601392	-0.00032297	-7.64535e-05	0.0359665	-0.0183547
-0.000345556	0.000308957	-0.00032297	-0.018274	0.0462822	0.0317251
-0.000416945	0.000318976	-0.00032297	-0.0182685	0.0303959	0.0470331
-0.000525768	0.000131267	-0.00032297	-0.018271	0.0330906	0.0169975
-0.000608452	0.000184524	-0.00032297	-0.0365464	0.0583741	0.0696778
-0.000608452	0.000309905	-0.000665034	-0.0350205	0.0428685	0.0556377
-0.00111743	0.000402494	-0.000750042	-0.0610964	0.112297	0.111714
-0.000889677	0.000280318	-0.0008933	-0.0573831	0.0593881	0.0857324
0.00161921	-0.00096383	-0.000201527	-9.46603e-05	-0.0177575	-0.0970591
0.00161921	-0.00096383	-0.000201527	-9.46603e-05	-0.0177575	-0.0970591
0.00128775	-0.00096383	-0.000246477	-9.87307e-05	0.000538577	-0.0500854
0.00118991	-0.00088358	3.87459e-05	-0.00692264	0.0238341	-0.0367118
0.00060935	-0.00096383	0.000216466	0.00768841	0.0164273	0.0156563
0.00032688	-0.00096383	0.000207156	0.008326	-0.00119704	-0.0322861
0.000225295	-0.00096383	0.000207156	-0.000128276	0.0402396	0.0258156
0.000536803	-0.000737839	1.17384e-05	-0.000120589	0.00624946	0.00218691
-8.43305e-05	-0.000619916	0.000207156	-0.000129645	0.0469517	0.0199605
-0.000382261	0.000358022	-2.87808e-05	-0.000105169	0.0220571	-0.0235494
-0.000691516	-0.00030645	0.000148375	-0.000121166	0.0466476	0.0340672
-0.000382261	-0.000441638	0.000207156	0.00973022	0.00934841	-0.0280749
-0.000174654	-0.00096383	0.000432361	-0.000125552	0.0403838	0.0161222
0.000116264	-0.00019032	0.000207156	0.00638894	-0.00205121	-0.0573974
-7.90096e-05	-0.000137672	0.000405326	0.00625593	0.0221437	-0.0485208
0.000437662	-0.000129335	0.000207156	0.0058653	0.00704793	-0.078947
9.22821e-05	5.06673e-05	0.000207156	0.0105653	0.00636967	-0.0748121
-0.000189029	-0.000123096	0.000319449	0.00658361	0.0303863	-0.0401351
0.00031369	-0.00010524	0.000207156	0.00444538	0.00942095	-0.0586656
-0.00022441	-0.000537656	0.000207156	-0.000107169	0.0458186	0.0108286
0.000225142	-0.000287656	0.000207156	-9.91814e-05	-0.00218477	-0.0134165
-0.000602124	-0.000287656	-8.72112e-05	-0.000117947	0.0394024	-0.00169874
0.000390099	0.000601392	-0.00032297	-7.64535e-05	0.0359665	-0.0183547
-0.000345556	0.000308957	-0.00032297	-0.018274	0.0462822	0.0317251
-0.000416945	0.000318976	-0.00032297	-0.0182685	0.0303959	0.0470331
-0.000525768	0.000131267	-0.00032297	-0.018271	0.0330906	0.0169975
-0.000608452	0.000184524	-0.00032297	-0.0365464	0.0583741	0.0696778
-0.000608452	0.000309905	-0.000665034	-0.0350205	0.0428685	0.0556377
-0.00111743	0.000402494	-0.000750042	-0.0610964	0.112297	0.111714
-0.000889677	0.000280318	-0.0008933	-0.0573831	0.0593881	0.0857324
0.00161921	-0.00096383	-0.000201527	-9.46603e-05	-0.0177575	-0.0970591
0.00161921	-0.00096383	-0.000201527	-9.46603e-05	-0.0177575	-0.0970591
0.00128775	-0.00096383	-0.000246477	-9.87307e-05	0.000538577	-0.0500854
0.00118991	-0.00088358	3.87459e-05	-0.00692264	0.0238341	-0.0367118
0.00060935	-0.00096383	0.000216466	0.00768841	0.0164273	0.0156563
0.00032688	-0.00096383	0.000207156	0.008326	-0.00119704	-0.0322861
0.000225295	-0.00096383	0.000207156	-0.000128276	0.0402396	0.0258156
0.000536803	-0.000737839	1.17384e-05	-0.000120589	0.00624946	0.00218691
-8.43305e-05	-0.000619916	0.000207156	-0.000129645	0.0469517	0.0199605
-0.000382261	0.000358022	-2.87808e-05	-0.000105169	0.0220571	-0.0235494
-0.000691516	-0.00030645	0.000148375	-0.000121166	0.0466476	0.0340672
-0.000382261	-0.000441638	0.000207156	0.00973022	0.00934841	-0.0280749
-0.000174654	-0.00096383	0.000432361	-0.000125552	0.0403838	0.0161222
0.000116264	-0.00019032	0.000207156	0.00638894	-0.00205121	-0.0573974
-7.90096e-05	-0.000137672	0.000405326	0.00625593	0.0221437	-0.0485208
0.000437662	-0.000129335	0.000207156	0.0058653	0.00704793	-0.078947
9.22821e-05	5.06673e-05	0.000207156	0.0105653	0.00636967	-0.0748121
-0.000189029	-0.000123096	0.000319449	0.00658361	0.0303863	-0.0401351
0.00031369	-0.00010524	0.000207156	0.00444538	0.00942095	-0.0586656
-0.00022441	-0.000537656	0.000207156	-0.000107169	0.0458186	0.0108286
0.000225142	-0.000287656	0.000207156	-9.91814e-05	-0.00218477	-0.0134165
-0.000602124	-0.000287656	-8.72112e-05	-0.000117947	0.0394024	-0.00169874
0.000390099	0.000601392	-0.00032297	-7.64535e-05	0.0359665	-0.0183547
-0.000345556	0.000308957	-0.00032297	-0.018274	0.0462822	0.0317251
-0.000416945	0.000318976	-0.00032297	-0.0182685	0.0303959	0.0470331
-0.000525768	0.000131267	-0.00032297	-0.018271	0.0330906	0.0169975
-0.000608452	0.000184524	-0.00032297	-0.0365464	0.0583741	0.0696778
-0.000608452	0.000309905	-0.000665034	-0.0350205	0.0428685	0.0556377
-0.00111743	0.000402494	-0.000750042	-0.0610964	0.112297	0.111714
-0.000889677	0.000280318	-0.0008933	-0.0573831	0.0593881	0.0857324
0.00161921	-0.00096383	-0.000201527	-9.46603e-05	-0.0177575	-0.0970591
0.00161921	-0.00096383	-0.000201527	-9.46603e-05	-0.0177575	-0.0970591
0.00128775	-0.00096383	-0.000246477	-9.87307e-05	0.000538577	-0.0500854
0.00118991	-0.00088358	3.87459e-05	-0.00692264	0.0238341	-0.0367118
0.00060935	-0.00096383	0.000216466	0.00768841	0.0164273	0.0156563
0.00032688	-0.00096383	0.000207156	0.008326	-0.00119704	-0.0322861
0.000225295	-0.00096383	0.000207156	-0.000128276	0.0402396	0.0258156
0.000536803	-0.000737839	1.17384e-05	-0.000120589	0.00624946	0.00218691
-8.43305e-05	-0.000619916	0.000207156	-0.000129645	0.0469517	0.0199605
-0.000382261	0.000358022	-2.87808e-05	-0.000105169	0.0220571	-0.0235494
-0.000691516	-0.00030645	0.000148375	-0.000121166	0.0466476	0.0340672
-0.000382261	-0.000441638	0.000207156	0.00973022	0.00934841	-0.0280749
-0.000174654	-0.00096383	0.000432361	-0.000125552	0.0403838	0.0161222
0.000116264	-0.00019032	0.000207156	0.00638894	-0.00205121	-0.0573974
-7.90096e-05	-0.000137672	0.000405326	0.00625593	0.0221437	-0.0485208
0.000437662	-0.000129335	0.000207156	0.0058653	0.00704793	-0.078947
9.22821e-05	5.06673e-05	0.000207156	0.0105653	0.00636967	-0.0748121
-0.000189029	-0.000123096	0.000319449	0.00658361	0.0303863	-0.0401351
0.00031369	-0.00010524	0.000207156	0.00444538	0.00942095	-0.0586656
-0.00022441	-0.000537656	0.000207156	-0.000107169	0.0458186	0.0108286
0.000225142	-0.000287656	0.000207156	-9.91814e-05	-0.00218477	-0.0134165
-0.000602124	-0.000287656	-8.72112e-05	-0.000117947	0.0394024	-0.00169874
0.000390099	0.000601392	-0.00032297	-7.64535e-05	0.0359665	-0.0183547
-0.000345556	0.000308957	-0.00032297	-0.018274	0.0462822	0.0317251
-0.000416945	0.000318976	-0.00032297	-0.0182685	0.0303959	0.0470331
-0.000525768	0.000131267	-0.00032297	-0.018271	0.0330906	0.0169975
-0.000608452	0.000184524	-0.00032297	-0.0365464	0.0583741	0.0696778
-0.000608452	0.000309905	-0.000665034	-0.0350205	0.0428685	0.0556377
-0.00111743	0.000402494	-0.000750042	-0.0610964	0.112297	0.111714
-0.000889677	0.000280318	-0.0008933	-0.0573831	0.0593881	0.0857324
